"speaker","listener","dialogue","Narrative_lower","Narrative_noNumbers","Narrative_noStopWords","Narrative_noPunctuation","Narrative_noTypos","Narrative_noSpaces","Narrative_Stem","Narrative_Lemma"
"Slughorn","Harry","With all due respect, Dumbledore sometimes forgets that most of us do not possess powers so great that we can risk offending the most dangerous Dark Lord who ever lived.","with all due respect, dumbledore sometimes forgets that most of us do not possess powers so great that we can risk offending the most dangerous dark lord who ever lived.","with all due respect, dumbledore sometimes forgets that most of us do not possess powers so great that we can risk offending the most dangerous dark lord who ever lived.","  due respect, dumbledore sometimes forgets    us   possess powers  great   can risk offending   dangerous dark lord  ever lived.","  due respect dumbledore sometimes forgets    us   possess powers  great   can risk offending   dangerous dark lord  ever lived","  due respect dumbledore sometimes forgets    us   possess powers  great   can risk offending   dangerous dark lord  ever lived"," due respect dumbledore sometimes forgets us possess powers great can risk offending dangerous dark lord ever lived","due respect dumbledor sometim forget u possess power great can risk offend danger dark lord ever live","due respect dumbledore sometimes forget us possess power great can risk offend dangerous dark lord ever live"
"Slughorn","Harry","Alright, m?boy! Bottoms up!","alright, m?boy! bottoms up!","alright, m?boy! bottoms up!","alright, m?boy! bottoms !","alright mboy bottoms ","alright mboy bottoms ","alright mboy bottoms ","alright mboi bottom","alright mboy bottom"
"Ron","Slughorn","What?s this?","what?s this?","what?s this?","?s ?","s ","s ","s ","","s"
"Slughorn","Ron","A tonic for the nerves.","a tonic for the nerves.","a tonic for the nerves."," tonic   nerves."," tonic   nerves"," tonic   nerves"," tonic nerves","tonic nerv","tonic nerve"
"Ron","Harry","What happened to me?","what happened to me?","what happened to me?"," happened  ?"," happened  "," happened  "," happened ","happen","happen"
"Harry","Ron","Love potion.","love potion.","love potion.","love potion.","love potion","love potion","love potion","love potion","love potion"
"Slughorn","Ron","And a bloody strong one at that.","and a bloody strong one at that.","and a bloody strong one at that.","  bloody strong one  .","  bloody strong one  ","  bloody strong one  "," bloody strong one ","bloodi strong on","bloody strong one"
"Ron","Slughorn","I feel really... bad.","i feel really... bad.","i feel really... bad."," feel really... bad."," feel really bad"," feel really bad"," feel really bad","feel realli bad","feel really bad"
"Slughorn","Harry","Pick-me-up?s what you need, m?boy. (eying Harry again) Do us all good, I think. I?ve got butterbeer, wine -- ah -- and a dazzling oak-matured mead. I had other intentions for this but given the circumstances...","pick-me-up?s what you need, m?boy. (eying harry again) do us all good, i think. i?ve got butterbeer, wine -- ah -- and a dazzling oak-matured mead. i had other intentions for this but given the circumstances...","pick-me-up?s what you need, m?boy. (eying harry again) do us all good, i think. i?ve got butterbeer, wine -- ah -- and a dazzling oak-matured mead. i had other intentions for this but given the circumstances...","pick--?s   need, m?boy. (eying harry )  us  good,  think. ?ve got butterbeer, wine -- ah --   dazzling oak-matured mead.    intentions    given  circumstances...","picks   need mboy eying harry   us  good  think ve got butterbeer wine  ah    dazzling oakmatured mead    intentions    given  circumstances","picks   need mboy eying harry   us  good  think ve got butterbeer wine  ah    dazzling oakmatured mead    intentions    given  circumstances","picks need mboy eying harry us good think ve got butterbeer wine ah dazzling oakmatured mead intentions given circumstances","pick need mboi ei harri u good think ve got butterb wine ah dazzl oakmatur mead intent given circumst","pick need mboy eye harry us good think have get butterbeer wine ah dazzle oakmatured mead intention give circumstance"
"Slughorn","Harry","There we are, Potter. To life!","there we are, potter. to life!","there we are, potter. to life!","  , potter.  life!","   potter  life","   potter  life"," potter life","potter life","potter life"
"Harry","Slughorn","Ron! Ron!!! Professor, help him!","ron! ron!!! professor, help him!","ron! ron!!! professor, help him!","ron! ron!!! professor, help !","ron ron professor help ","ron ron professor help ","ron ron professor help ","ron ron professor help","ron ron professor help"
"Slughorn","Harry","I d-don?t understand --","i d-don?t understand --","i d-don?t understand --"," d-don?t understand --"," ddont understand "," ddont understand "," ddont understand ","ddont understand","ddont understand"
"Harry","Slughorn","Professor! Do something!!","professor! do something!!","professor! do something!!","professor!  something!!","professor  something","professor  something","professor something","professor someth","professor something"
"Harry","Slughorn","He?s choking!!","he?s choking!!","he?s choking!!","?s choking!!","s choking","s choking","s choking"," choke","s choke"
"Harry","Ron","Breathe! C?mon, Ron, don?t be a prat. Breathe! BREATHE!","breathe! c?mon, ron, don?t be a prat. breathe! breathe!","breathe! c?mon, ron, don?t be a prat. breathe! breathe!","breathe! c?mon, ron, don?t   prat. breathe! breathe!","breathe cmon ron dont   prat breathe breathe","breathe cmon ron dont   prat breathe breathe","breathe cmon ron dont prat breathe breathe","breath cmon ron dont prat breath breath","breathe cmon ron do prat breathe breathe"
"Ron","Harry","These girls are gonna kill me, Harry.","these girls are gonna kill me, harry.","these girls are gonna kill me, harry."," girls  gonna kill , harry."," girls  gonna kill  harry"," girls  gonna kill  harry"," girls gonna kill harry","girl gonna kill harri","girl gonna kill harry"
"Dumbledore","Slughorn","Quick thinking on your part, Harry. Using a Bezoar. You must be very proud of your student, eh, Horace?","quick thinking on your part, harry. using a bezoar. you must be very proud of your student, eh, horace?","quick thinking on your part, harry. using a bezoar. you must be very proud of your student, eh, horace?","quick thinking   part, harry. using  bezoar.  must   proud   student, eh, horace?","quick thinking   part harry using  bezoar  must   proud   student eh horace","quick thinking   part harry using  bezoar  must   proud   student eh horace","quick thinking part harry using bezoar must proud student eh horace","quick think part harri us bezoar must proud student eh horac","quick think part harry use bezoar must proud student eh horace"
"Slughorn","Dumbledore","Hm? Oh. Yes... very proud.","hm? oh. yes... very proud.","hm? oh. yes... very proud.","hm? oh. yes...  proud.","hm oh yes  proud","hm oh yes  proud","hm oh yes proud","hm oh ye proud","hm oh yes proud"
"Professor Mcgonagall","Dumbledore","I think we all agree that Mr. Potter?s actions were heroic. The question is: Why were they necessary.","i think we all agree that mr. potter?s actions were heroic. the question is: why were they necessary.","i think we all agree that mr. potter?s actions were heroic. the question is: why were they necessary."," think   agree  mr. potter?s actions  heroic.  question :    necessary."," think   agree  mr potters actions  heroic  question     necessary"," think   agree  mr potters actions  heroic  question     necessary"," think agree mr potters actions heroic question necessary","think agre mr potter action heroic question necessari","think agree mr potter action heroic question necessary"
"Dumbledore","Professor Mcgonagall","Why indeed.","why indeed.","why indeed."," indeed."," indeed"," indeed"," indeed","inde","indeed"
"Dumbledore","Slughorn","This appears to be a gift, Horace. You don?t by chance remember who gave you this bottle, do you -- which by the way possesses remarkably subtle hints of licorice and cherry when not polluted with poison.","this appears to be a gift, horace. you don?t by chance remember who gave you this bottle, do you -- which by the way possesses remarkably subtle hints of licorice and cherry when not polluted with poison.","this appears to be a gift, horace. you don?t by chance remember who gave you this bottle, do you -- which by the way possesses remarkably subtle hints of licorice and cherry when not polluted with poison."," appears    gift, horace.  don?t  chance remember  gave   bottle,   --    way possesses remarkably subtle hints  licorice  cherry   polluted  poison."," appears    gift horace  dont  chance remember  gave   bottle       way possesses remarkably subtle hints  licorice  cherry   polluted  poison"," appears    gift horace  dont  chance remember  gave   bottle       way possesses remarkably subtle hints  licorice  cherry   polluted  poison"," appears gift horace dont chance remember gave bottle way possesses remarkably subtle hints licorice cherry polluted poison","appear gift horac dont chanc rememb gave bottl wai possess remark subtl hint licoric cherri pollut poison","appear gift horace do chance remember give bottle way possess remarkably subtle hint licorice cherry pollute poison"
